name,adresse,email,speciality,url
Chez Xu,Chemin de la Fontaine 2,chezxu@gmail.com,Chinese cuisine,http://www.chezxu.com/
L'Auberge du Chalet des Enfants,Chemin du Chalet-des-Enfants 7,contact@chaletdesenfants.ch,Traditional Swiss cuisine,https://www.chaletdesenfants.ch/
Le Pont de Brent,Route de Blonay 20,info@lepontdebrent.ch,Gastronomic cuisine,https://www.lepontdebrent.ch/
Le Jardin,Chemin de Mornex 38,info@restaurant-lejardin.ch,Italian cuisine,https://www.restaurant-lejardin.ch/
Au Fil du Son,Route de Berne 10,info@auphilduson.ch,Modern European cuisine,https://www.auphilduson.ch/
L'Esquisse,Route de Cugy 23,info@restaurant-lesquisse.ch,Gourmet cuisine,https://www.restaurant-lesquisse.ch/
La Pinte Besson,Chemin du Bois-de-Vaux 36,info@lapintebesson.ch,Traditional Swiss cuisine,https://www.lapintebesson.ch/
Le Comptoir de l'Ouest,Chemin du Closel 7,info@lecomptoirdelouest.ch,French cuisine,https://www.lecomptoirdelouest.ch/
Le Café du Grütli,Route de Cheseaux 1,info@lecafedugrutli.ch,Brasserie-style cuisine,https://www.lecafedugrutli.ch/
La Brasserie de Montbenon,Allée Ernest-Ansermet 3,info@brasseriemontbenon.ch,Brasserie-style cuisine,https://www.brasseriemontbenon.ch/
Le Boulevard,Chemin des Croisettes 4,info@boulevard-lausanne.ch,International cuisine,https://www.boulevard-lausanne.ch/
Le Pointu,Route de la Corniche 2,info@lepointu.ch,Seafood cuisine,https://www.lepointu.ch/
Le Vaudois,Chemin du Bois-de-Vaux 36,info@le-vaudois.ch,Traditional Swiss cuisine,https://www.le-vaudois.ch/
Le Perroquet Vert,Chemin de la Fontaine 3,info@perroquetvert.ch,French cuisine,https://www.perroquetvert.ch/
Le Milan Rouge,Route de la Corniche 3,info@lemilanrouge.ch,Italian cuisine,https://www.lemilanrouge.ch/
Le Nomade,Chemin des Sauges 27,info@restaurantlenomade.ch,World cuisine,https://www.restaurantlenomade.ch/
L'Atelier Gourmand,Chemin du Vallon 13,info@atelier-gourmand.ch,Contemporary cuisine,https://www.atelier-gourmand.ch/
Le Buffet de la Gare,Route de Genève 5,info@buffetdelagare.ch,Swiss and French cuisine,https://www.buffetdelagare.ch/
Le Café de Grancy,Avenue du Rond-Point 1,info@cafedegrancy.ch,Brasserie-style cuisine,https://www.cafedegrancy.ch/
